x,y,z,rgb,pl_name,hostname,gaia_id,sy_snum,sy_pnum,sy_mnum,disc_year,pl_rade,pl_bmasse,pl_dens,pl_orbincl,sy_dist
92.07956250388477,-311.42521049261467,382.2462163510894,"(75, 114, 138)",Kepler-324 e,Kepler-324,Gaia DR2 2132078120004385152,1,4,0,2021,2.039,4.81,3.12,88.6,501.574
180.20812681500402,-499.57804452718665,629.0263897645468,"(166, 108, 0)",Kepler-325 b,Kepler-325,Gaia DR2 2133021810218800384,1,3,0,2014,2.91,8.8,1.96,86.99,823.242
180.20812681500402,-499.57804452718665,629.0263897645468,"(88, 134, 163)",Kepler-325 c,Kepler-325,Gaia DR2 2133021810218800384,1,3,0,2014,2.54,6.99,2.34,87.01,823.242
180.20812681500402,-499.57804452718665,629.0263897645468,"(113, 141, 150)",Kepler-325 d,Kepler-325,Gaia DR2 2133021810218800384,1,3,0,2014,2.79,8.2,2.07,89.39,823.242
139.53987112685385,-308.67889986194274,350.8174265496538,"(128, 83, 0)",Kepler-326 b,Kepler-326,Gaia DR2 2128098197152438144,1,3,0,2014,1.52,44.6,69.8,89.97,487.675
139.53987112685385,-308.67889986194274,350.8174265496538,"(81, 124, 128)",Kepler-326 c,Kepler-326,Gaia DR2 2128098197152438144,1,3,0,2014,1.4,17.4,34.8,88.6,487.675
139.53987112685385,-308.67889986194274,350.8174265496538,"(81, 124, 128)",Kepler-326 d,Kepler-326,Gaia DR2 2128098197152438144,1,3,0,2014,1.21,6.9,21.4,88.43,487.675
66.91419176288319,-160.4171349476784,168.36431309781304,"(81, 124, 128)",Kepler-327 b,Kepler-327,Gaia DR2 2126336710805475712,1,3,0,2014,1.11,1.41,5.67,89.77,241.987
66.91419176288319,-160.4171349476784,168.36431309781304,"(81, 124, 128)",Kepler-327 c,Kepler-327,Gaia DR2 2126336710805475712,1,3,0,2014,1.03,20.3,102.0,89.44,241.987
66.91419176288319,-160.4171349476784,168.36431309781304,"(96, 119, 127)",Kepler-327 d,Kepler-327,Gaia DR2 2126336710805475712,1,3,0,2014,1.73,3.64,3.86,88.5,241.987
738.0469835690818,-1526.0929661318326,1422.8622157002853,"(68, 103, 125)",Kepler-328 b,Kepler-328,Gaia DR2 2076373321899335808,1,2,0,2013,2.3,28.5,12.9,89.96,2213.19
738.0469835690818,-1526.0929661318326,1422.8622157002853,"(91, 114, 121)",Kepler-328 c,Kepler-328,Gaia DR2 2076373321899335808,1,2,0,2013,5.4,39.4,1.37,89.97,2213.19
151.40795574754367,-270.1574208923987,312.1592507585146,"(90, 136, 141)",Kepler-329 b,Kepler-329,Gaia DR2 2079224424266279936,1,2,0,2014,1.4,2.54,5.09,88.86,439.719
151.40795574754367,-270.1574208923987,312.1592507585146,"(96, 119, 127)",Kepler-329 c,Kepler-329,Gaia DR2 2079224424266279936,1,2,0,2014,1.93,4.38,3.35,89.35,439.719
274.51081258999534,-793.746315262473,869.872695501145,"(141, 91, 0)",Kepler-33 b,Kepler-33,Gaia DR2 2127355923723254272,1,5,0,2011,1.74,3.68,3.84,86.39,1209.16
274.51081258999534,-793.746315262473,869.872695501145,"(192, 124, 0)",Kepler-33 c,Kepler-33,Gaia DR2 2127355923723254272,1,5,0,2011,3.2,0.39,0.13,88.19,1209.16
274.51081258999534,-793.746315262473,869.872695501145,"(71, 108, 132)",Kepler-33 d,Kepler-33,Gaia DR2 2127355923723254272,1,5,0,2011,5.35,3.91,0.25,88.71,1209.16
274.51081258999534,-793.746315262473,869.872695501145,"(102, 155, 188)",Kepler-33 e,Kepler-33,Gaia DR2 2127355923723254272,1,5,0,2011,4.02,5.57,0.8,88.94,1209.16
274.51081258999534,-793.746315262473,869.872695501145,"(102, 155, 188)",Kepler-33 f,Kepler-33,Gaia DR2 2127355923723254272,1,5,0,2011,4.46,9.6,0.9,89.17,1209.16
161.1030624019247,-482.9592174455217,505.6097242915042,"(90, 136, 141)",Kepler-330 b,Kepler-330,Gaia DR2 2127181926007695744,1,2,0,2014,1.35,2.39,5.34,89.57,717.527
161.1030624019247,-482.9592174455217,505.6097242915042,"(75, 114, 138)",Kepler-330 c,Kepler-330,Gaia DR2 2127181926007695744,1,2,0,2014,1.95,4.46,3.31,89.4,717.527
166.9465326836338,-416.6715631113695,367.4938337989365,"(75, 114, 138)",Kepler-331 b,Kepler-331,Gaia DR2 2052794982231985664,1,3,0,2014,1.82,3.97,3.62,89.58,580.119
166.9465326836338,-416.6715631113695,367.4938337989365,"(96, 119, 127)",Kepler-331 c,Kepler-331,Gaia DR2 2052794982231985664,1,3,0,2014,1.84,4.04,3.56,89.75,580.119
166.9465326836338,-416.6715631113695,367.4938337989365,"(96, 119, 127)",Kepler-331 d,Kepler-331,Gaia DR2 2052794982231985664,1,3,0,2014,1.64,3.33,4.15,89.84,580.119
66.78517863943418,-223.13310539646707,253.41293039272475,"(81, 124, 128)",Kepler-332 b,Kepler-332,Gaia DR2 2130683904901068800,1,3,0,2014,1.17,1.71,5.87,89.43,344.19
66.78517863943418,-223.13310539646707,253.41293039272475,"(81, 124, 128)",Kepler-332 c,Kepler-332,Gaia DR2 2130683904901068800,1,3,0,2014,1.09,1.32,5.6,89.86,344.19
66.78517863943418,-223.13310539646707,253.41293039272475,"(104, 128, 128)",Kepler-332 d,Kepler-332,Gaia DR2 2130683904901068800,1,3,0,2014,1.18,1.76,5.89,89.96,344.19
92.97194414242121,-226.84553597549203,212.46438520225044,"(104, 128, 128)",Kepler-333 b,Kepler-333,Gaia DR2 2053581167404822272,2,2,0,2014,1.32,28.2,67.4,88.9,324.413
92.97194414242121,-226.84553597549203,212.46438520225044,"(104, 128, 128)",Kepler-333 c,Kepler-333,Gaia DR2 2053581167404822272,2,2,0,2014,1.11,1.41,5.67,89.51,324.413
85.5584311244704,-277.41211689036606,312.57207227441984,"(128, 99, 0)",Kepler-334 b,Kepler-334,Gaia DR2 2130661880308812800,1,3,0,2014,1.12,1.46,5.71,89.68,426.59
85.5584311244704,-277.41211689036606,312.57207227441984,"(90, 136, 141)",Kepler-334 c,Kepler-334,Gaia DR2 2130661880308812800,1,3,0,2014,1.43,2.63,4.94,89.97,426.59
85.5584311244704,-277.41211689036606,312.57207227441984,"(90, 136, 141)",Kepler-334 d,Kepler-334,Gaia DR2 2130661880308812800,1,3,0,2014,1.41,2.57,5.04,88.88,426.59
394.37734318037667,-806.295748663566,911.1080823771937,"(166, 108, 0)",Kepler-335 b,Kepler-335,Gaia DR2 2079810120364906880,1,2,0,2014,3.39,11.4,1.61,86.26,1278.97
394.37734318037667,-806.295748663566,911.1080823771937,"(88, 134, 163)",Kepler-335 c,Kepler-335,Gaia DR2 2079810120364906880,1,2,0,2014,3.07,9.64,1.83,89.49,1278.97
199.7098842990687,-541.6976765535279,507.76499380103206,"(141, 46, 0)",Kepler-336 b,Kepler-336,Gaia DR2 2101792175299215488,1,3,0,2014,1.02,1.04,5.39,87.61,768.86
199.7098842990687,-541.6976765535279,507.76499380103206,"(75, 114, 138)",Kepler-336 c,Kepler-336,Gaia DR2 2101792175299215488,1,3,0,2014,2.1,5.06,3.0,89.79,768.86
199.7098842990687,-541.6976765535279,507.76499380103206,"(88, 134, 163)",Kepler-336 d,Kepler-336,Gaia DR2 2101792175299215488,1,3,0,2014,2.37,6.21,2.56,88.55,768.86
158.11399691831315,-432.99122705527617,497.16059970263325,"(141, 91, 0)",Kepler-337 b,Kepler-337,Gaia DR2 2127851116271982848,1,2,0,2014,1.54,2.99,4.5,80.59,677.975
158.11399691831315,-432.99122705527617,497.16059970263325,"(141, 91, 0)",Kepler-337 c,Kepler-337,Gaia DR2 2127851116271982848,1,2,0,2014,2.05,4.86,3.1,85.39,677.975
94.0072516244686,-407.87019413713176,361.0957908651833,"(128, 83, 0)",Kepler-338 b,Kepler-338,Gaia DR2 2104344141784539264,1,4,0,2014,2.44,30.6,11.6,89.9,552.798
94.0072516244686,-407.87019413713176,361.0957908651833,"(88, 134, 163)",Kepler-338 c,Kepler-338,Gaia DR2 2104344141784539264,1,4,0,2014,2.34,6.08,2.61,89.61,552.798
94.0072516244686,-407.87019413713176,361.0957908651833,"(88, 134, 163)",Kepler-338 d,Kepler-338,Gaia DR2 2104344141784539264,1,4,0,2014,3.0,9.27,1.89,89.96,552.798
94.0072516244686,-407.87019413713176,361.0957908651833,"(128, 83, 0)",Kepler-338 e,Kepler-338,Gaia DR2 2104344141784539264,1,4,0,2014,1.56,8.5,12.3,87.49,552.798
162.13383985776827,-375.5374211985088,461.4384607090627,"(141, 109, 0)",Kepler-339 b,Kepler-339,Gaia DR2 2128911251641171200,1,3,0,2014,1.42,2.6,4.99,87.96,616.637
162.13383985776827,-375.5374211985088,461.4384607090627,"(81, 124, 128)",Kepler-339 c,Kepler-339,Gaia DR2 2128911251641171200,1,3,0,2014,1.15,7.3,26.4,89.92,616.637
162.13383985776827,-375.5374211985088,461.4384607090627,"(81, 124, 128)",Kepler-339 d,Kepler-339,Gaia DR2 2128911251641171200,1,3,0,2014,1.17,14.7,50.4,89.23,616.637
570.4342027853012,-1147.3315609676326,1265.3804889835599,"(128, 128, 128)",Kepler-34 b,Kepler-34,Gaia DR2 2079692678777827712,2,1,0,2011,8.564,69.92,0.613,90.355,1800.82
269.7487314093444,-554.7006614627342,523.1049328001549,"(166, 108, 0)",Kepler-340 b,Kepler-340,Gaia DR2 2076383625510685824,1,2,0,2014,2.53,6.94,2.35,89.54,808.762
269.7487314093444,-554.7006614627342,523.1049328001549,"(88, 134, 163)",Kepler-340 c,Kepler-340,Gaia DR2 2076383625510685824,1,2,0,2014,3.37,11.3,1.62,89.38,808.762
258.15173336540886,-714.6339201868383,720.3664786612619,"(128, 99, 0)",Kepler-341 b,Kepler-341,Gaia DR2 2102815683186036096,1,4,0,2014,1.18,1.76,5.89,89.71,1047.03
258.15173336540886,-714.6339201868383,720.3664786612619,"(75, 114, 138)",Kepler-341 c,Kepler-341,Gaia DR2 2102815683186036096,1,4,0,2014,1.7,3.53,3.95,89.82,1047.03
258.15173336540886,-714.6339201868383,720.3664786612619,"(75, 114, 138)",Kepler-341 d,Kepler-341,Gaia DR2 2102815683186036096,1,4,0,2014,1.85,4.08,3.54,88.98,1047.03
258.15173336540886,-714.6339201868383,720.3664786612619,"(75, 114, 138)",Kepler-341 e,Kepler-341,Gaia DR2 2102815683186036096,1,4,0,2014,1.99,4.62,3.22,89.51,1047.03
206.57066894365454,-494.3549907757305,569.0847539236124,"(88, 134, 163)",Kepler-342 b,Kepler-342,Gaia DR2 2128298617506651904,1,4,0,2014,2.25,5.69,2.74,85.52,781.611
206.57066894365454,-494.3549907757305,569.0847539236124,"(75, 114, 138)",Kepler-342 c,Kepler-342,Gaia DR2 2128298617506651904,1,4,0,2014,1.96,4.5,3.28,86.14,781.611
206.57066894365454,-494.3549907757305,569.0847539236124,"(88, 134, 163)",Kepler-342 d,Kepler-342,Gaia DR2 2128298617506651904,1,4,0,2014,2.49,6.76,2.41,84.57,781.611
206.57066894365454,-494.3549907757305,569.0847539236124,"(141, 46, 0)",Kepler-342 e,Kepler-342,Gaia DR2 2128298617506651904,1,4,0,2016,0.88,0.615,4.96,58.94,781.611
